name,hostelid,city,url
Hotel Le Terrage,16776,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Le-Terrage/Paris/16776
Cafe Hotel de l'avenir,65184,Paris,https://www.hostelworld.com/hosteldetails.php/Cafe-Hotel-de-l-avenir/Paris/65184
Trendy Hostel,93804,Paris,https://www.hostelworld.com/hosteldetails.php/Trendy-Hostel/Paris/93804
Hipotel Paris Belleville,17136,Paris,https://www.hostelworld.com/hosteldetails.php/Hipotel-Paris-Belleville/Paris/17136
Hotel France Albion,2952,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-France-Albion/Paris/2952
Hipotel Belgrand,78381,Paris,https://www.hostelworld.com/hosteldetails.php/Hipotel-Belgrand/Paris/78381
Liberty Hotel Paris,8495,Paris,https://www.hostelworld.com/hosteldetails.php/Liberty-Hotel-Paris/Paris/8495
The Student Hotel Paris La D̩fense,97246,Paris,https://www.hostelworld.com/hosteldetails.php/The-Student-Hotel-Paris-La-Defense/Paris/97246
Chez Godo,45870,Paris,https://www.hostelworld.com/hosteldetails.php/Chez-Godo/Paris/45870
Hotel Marignan,14256,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Marignan/Paris/14256
Hotel de la Terrasse,8879,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-de-la-Terrasse/Paris/8879
Hotel D'Amiens,9100,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-D-Amiens/Paris/9100
Princesse Isabelle,280490,Paris,https://www.hostelworld.com/hosteldetails.php/Princesse-Isabelle/Paris/280490
Apparteo Paris 13,100064,Paris,https://www.hostelworld.com/hosteldetails.php/Apparteo-Paris-13/Paris/100064
JP House,277252,Paris,https://www.hostelworld.com/hosteldetails.php/JP-House/Paris/277252
Mary's Hotel,7810,Paris,https://www.hostelworld.com/hosteldetails.php/Mary-s-Hotel/Paris/7810
Hotel des Olympiades,3231,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-des-Olympiades/Paris/3231
Hotel du Square d'Anvers,71548,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-du-Square-d-Anvers/Paris/71548
Hotel Beaugrenelle Saint-Charles,14103,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Beaugrenelle-Saint-Charles/Paris/14103
Grand Hotel de Clermont,68304,Paris,https://www.hostelworld.com/hosteldetails.php/Grand-Hotel-de-Clermont/Paris/68304
Hotel des Mines,5593,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-des-Mines/Paris/5593
H̫tel du Globe 18,267576,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-du-Globe-18/Paris/267576
Hotel Hipotel Paris Hippodrome,29790,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Hipotel-Paris-Hippodrome/Paris/29790
Hotel Angleterre Etoile,13885,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Angleterre-Etoile/Paris/13885
Hotel Maubeuge,40955,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Maubeuge/Paris/40955
Hotel Mogador,265640,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Mogador/Paris/265640
Hotel Eiffel Rive Gauche,57044,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Eiffel-Rive-Gauche/Paris/57044
Hotel Opera Frochot,71099,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Opera-Frochot/Paris/71099
Modern Hotel,15378,Paris,https://www.hostelworld.com/hosteldetails.php/Modern-Hotel/Paris/15378
Paris Hotel Le Mediterraneen,32759,Paris,https://www.hostelworld.com/hosteldetails.php/Paris-Hotel-Le-Mediterraneen/Paris/32759
Hotel Parc Even,31689,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Parc-Even/Paris/31689
Hotel Le Villiers,61335,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Le-Villiers/Paris/61335
Hotel Louvre Marsollier Opera,3053,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Louvre-Marsollier-Opera/Paris/3053
Hotel Viator,10100,Paris,https://www.hostelworld.com/hosteldetails.php/Hotel-Viator/Paris/10100
